Time [s],Channel 0,Channel 1
0.404381680,1,0
0.404384520,0,0
0.404397560,1,0
0.404400280,0,0
0.404413680,1,0
0.404416360,0,0
0.404429480,1,0
0.404432080,0,0
0.404445640,1,0
0.404448120,0,0
0.404461560,1,0
0.404463800,0,0
0.404477640,1,0
0.404479800,0,0
0.404493600,1,0
0.404495640,0,0
0.404946880,1,1
0.405148200,1,0
0.405148400,0,0
0.405153560,1,1
0.405355400,1,0
0.405355720,0,0
0.405360200,0,1
0.405360240,1,1
0.405409200,1,0
0.405409360,0,0
0.405416800,1,1
0.405420080,1,0
0.405420120,0,0
0.405566880,0,1
0.405566920,1,1
0.405616560,1,0
0.405616760,0,0
0.405624080,1,1
0.405627640,1,0
0.405627680,0,0
0.405773560,0,1
0.405773600,1,1
0.405823360,1,0
0.405823560,0,0
0.405830920,1,1
0.405834520,1,0
0.405834560,0,0
0.405980280,1,1
0.406030080,1,0
0.406030280,0,0
0.406037680,1,1
0.406041240,1,0
0.406041280,0,0
0.406186960,1,1
0.406386760,1,0
0.406387000,0,0
0.406393640,1,1
0.406594880,1,0
0.406595120,0,0
0.406600280,0,1
0.406600320,1,1
0.406649240,1,0
0.406649400,0,0
0.406656840,1,1
0.406660000,1,0
0.406660080,0,0
0.406806960,1,1
0.406856480,1,0
0.406856680,0,0
0.406864040,1,1
0.406867520,1,0
0.406867600,0,0
0.407013640,0,1
0.407013680,1,1
0.407063440,1,0
0.407063640,0,0
0.407071040,1,1
0.407074480,1,0
0.407074560,0,0
0.407220320,1,1
0.407270240,1,0
0.407270400,0,0
0.407277800,1,1
0.407281240,1,0
0.407281280,0,0
0.407427000,0,1
0.407427040,1,1
0.407476920,1,0
0.407477120,0,0
0.407484480,1,0
0.407484520,1,1
0.407487960,1,0
0.407488040,0,0
0.407633720,1,1
0.407683680,1,0
0.407683920,0,0
0.407691240,1,1
0.407694760,1,0
0.407694840,0,0
0.407840400,1,1
0.407893880,1,0
0.407894080,0,0
0.407901440,1,1
0.407904920,1,0
0.407904960,0,0
0.408047080,1,1
0.408074280,1,0
0.408074360,0,0
0.408076080,1,1
0.408102080,1,0
0.408102160,0,0
0.408109360,1,1
0.408112840,1,0
0.408112920,0,0
0.408253720,1,1
0.408280920,1,0
0.408281000,0,0
0.408282760,1,1
0.408308840,1,0
0.408308920,0,0
0.408316160,1,1
0.408319600,1,0
0.408319680,0,0
0.408460360,0,1
0.408460400,1,1
0.408487600,1,0
0.408487720,0,0
0.408489320,1,1
0.408515120,1,0
0.408515200,0,0
0.408522480,1,0
0.408522520,1,1
0.408526000,1,0
0.408526080,0,0
0.409907000,1,1
0.410108520,1,0
0.410108680,0,0
0.410113640,1,1
0.410316720,1,0
0.410316920,0,0
0.410320320,1,1
0.410371520,1,0
0.410371680,0,0
0.410379040,1,0
0.410379080,1,1
0.410382520,1,0
0.410382600,0,0
0.410527000,1,1
0.410581400,1,0
0.410581600,0,0
0.410588800,1,1
0.410592120,1,0
0.410592200,0,0
0.410733680,1,1
0.410789160,1,0
0.410789400,0,0
0.410796560,1,1
0.410800160,1,0
0.410800240,0,0
0.410940320,1,1
0.410967640,1,0
0.410967760,0,0
0.410968680,1,0
0.410968760,1,1
0.410997400,1,0
0.410997600,0,0
0.411005080,1,1
0.411007960,1,0
0.411008040,0,0
0.411147000,1,1
0.411535960,1,0
0.411536000,0,0
0.411537920,1,1
0.411587480,1,0
0.411587520,0,0
0.411589640,0,1
0.411589680,1,1
0.411619960,1,0
0.411620040,0,0
0.411627280,1,0
0.411627320,1,1
0.411629960,1,0
0.411630040,0,0
0.411766960,1,1
0.411794200,1,0
0.411794240,0,0
0.411796000,0,1
0.411796040,1,1
0.411827240,1,0
0.411827320,0,0
0.411834720,1,1
0.411837720,1,0
0.411837760,0,0
0.411973640,1,1
0.412000840,1,0
0.412000920,0,0
0.412002760,1,1
0.412034200,1,0
0.412034280,0,0
0.412041440,1,1
0.412044640,1,0
0.412044680,0,0
0.412180280,1,1
0.412207480,1,0
0.412207560,0,0
0.412209400,1,1
0.412240920,1,0
0.412241000,0,0
0.412248120,1,1
0.412251560,1,0
0.412251640,0,0
0.412386960,1,1
0.412414160,1,0
0.412414240,0,0
0.412416080,1,1
0.412447560,1,0
0.412447640,0,0
0.412454800,1,0
0.412454840,1,1
0.412458320,1,0
0.412458400,0,0
0.412593640,1,1
0.412620800,1,0
0.412620880,0,0
0.412622760,1,1
0.412654200,1,0
0.412654320,0,0
0.412661640,1,1
0.412665120,1,0
0.412665200,0,0
0.412800280,1,1
0.412827480,1,0
0.412827560,0,0
0.412829400,1,1
0.412860960,1,0
0.412861080,0,0
0.412868480,1,1
0.412872040,1,0
0.412872080,0,0
0.413006920,0,1
0.413006960,1,1
0.413034200,1,0
0.413034320,0,0
0.413035640,1,0
0.413035680,1,1
0.413065800,1,0
0.413066000,0,0
0.413073800,1,0
0.413073880,1,1
0.413077080,1,0
0.413077120,0,0
0.413213600,1,1
0.413262920,1,0
0.413263120,0,0
0.413270360,1,0
0.413270400,1,1
0.413273920,1,0
0.413274000,0,0
0.413420280,1,1
0.413469600,1,0
